postcode,lats,longs
9711AA,53.2136635850457,6.56146386779915
9711AB,53.2137235030484,6.56113927848944
9711AC,53.2138571311699,6.56072871913643
9711AD,53.2140549742165,6.56032858551258
9711AE,53.2143491279788,6.56004357841928
9711AG,53.2134910844052,6.5604895671791
9711AH,53.2140100575723,6.56206675274375
9711AJ,53.2143616048637,6.56116902211551
9711AK,53.2149009638012,6.56028226251006
9711AL,53.2140553157383,6.56148351679269
9711AM,53.2143049277052,6.56089442149744
9711AN,53.2146037988102,6.56040816640706
9711AP,53.2130997102465,6.56227535677005
9711AR,53.2142819842673,6.56245862671699
9711AS,53.2140595361011,6.56291284324505
9711AZ,53.2144987162763,6.55950309021098
9711BA,53.2131288962398,6.56795093667613
9711BB,53.2130300978331,6.56713010811821
9711BC,53.2130037547798,6.56626813679544
9711BD,53.2129732820907,6.56526450891301
9711BE,53.2129366848004,6.56454290859282
9711BG,53.213069062934,6.56368717165522
9711BH,53.2126619907006,6.56831219557177
9711BJ,53.2126040488954,6.56762387744325
9711BK,53.2125947141077,6.56382761001325
9711BL,53.2134463704187,6.56833396847063
9711BM,53.21386490854,6.56753274966716
9711BN,53.2137294411364,6.56616857832419
9711BP,53.2136590311024,6.56473632851278
9711BR,53.2136600759188,6.56348619829554
9711BS,53.2136067588958,6.56687501369528
9711BT,53.2134071299831,6.56456255800324
9711BV,53.2139579213283,6.56349389649853
9711BW,53.2141808382254,6.56375650906243
9711BX,53.2137635959329,6.56379777822615
9711CA,53.2132074333042,6.56554033776461
9711CB,53.2139424804858,6.56566061111314
9711CC,53.2134620429974,6.56587103510253
9711CD,53.2139743110913,6.56661496295724
9711CE,53.2143164971997,6.56661723023718
9711CG,53.2143699189161,6.56780240388303
9711CH,53.2143848367621,6.56808376035777
9711CJ,53.2159688943373,6.57360556172273
9711CK,53.214289399447,6.56840655191447
9711CL,53.2147923143446,6.57021532993478
9711CM,53.214883303857,6.57007517203409
9711CN,53.2153641415479,6.5710363170712
9711CP,53.214669114734,6.57045815429186
9711CR,53.2148569844538,6.56969909186562
9711CS,53.2155340777565,6.57155666862905
9711CT,53.2148943006522,6.57145451667243
9711CV,53.2158037704538,6.57173142527554
9711CW,53.2163080383481,6.57405093587644
9711CX,53.2159972425529,6.57262613330536
9711CZ,53.2161828881155,6.57388202409099
9711DE,53.2143900845175,6.56740262342689
9711DG,53.2141591377335,6.56713394154135
9711DH,53.2141780785035,6.56726609878491
9711EA,53.2163061116606,6.57451123497987
9711EB,53.2153692008843,6.57494163801123
9711EC,53.2152788175243,6.57556249477061
9711ED,53.2144850953872,6.57359085186317
9711EE,53.2148474752646,6.57445923585073
9711EG,53.2150752593584,6.57486662970732
9711EH,53.2156151414307,6.57546809725174
9711EJ,53.215145908627,6.57387220853921
9711EK,53.2155004988429,6.57462055783845
9711EL,53.2155506523377,6.57371444947113
9711EM,53.216008059208,6.57429267951822
9711EN,53.214302953204,6.57308656939212
9711EP,53.2134077269293,6.5710869271653
9711ER,53.2138627468376,6.57226421458826
9711ES,53.2138538992363,6.57080058350113
9711ET,53.2141247213043,6.57159042768556
9711EV,53.2143675245344,6.57224353018945
9711GA,53.2135079689622,6.56915693128516
9711GB,53.2138163947802,6.56990394396874
9711GC,53.2138127882641,6.57001315841799
9711GD,53.213902742539,6.56972354650517
9711GE,53.2143066409988,6.57071672636075
9711GG,53.2146523940913,6.57167711162236
9711GH,53.214416096746,6.57045295981166
9711GJ,53.216167084458,6.57210524147534
9711GK,53.2163928580196,6.572861132827
9711GL,53.2166374734854,6.57342764693041
9711GM,53.2162603959996,6.57183429247107
9711GN,53.2165446432214,6.57245631409824
9711GP,53.2167980556932,6.573191398668
9711GR,53.2164178286068,6.57359220984447
9711HA,53.2157872713583,6.570079733619
9711HB,53.2150133385279,6.56749227314611
9711HC,53.2147006550091,6.56614438136199
9711HD,53.214672674737,6.56461086807905
9711HE,53.2147720151341,6.56325406533963
9711HG,53.215503275399,6.57047257643375
9711HH,53.2150068868947,6.56888337427653
9711HJ,53.2146966503224,6.5678508334024
9711HK,53.2145352081823,6.56713179324375
9711HL,53.2143305831488,6.56513079027002
9711HM,53.2143859769125,6.56371068481241
